event,stage,breaker 1 (red),breaker 2 (blue),winner,battle rounds,number of judges,breaker 1 round wins,breaker 2 round wins,breaker 1 vote count,breaker 2 vote count,judge 1 name ,judge 2 name,judge 3 name,judge 4 name,judge 5 name,judge 6 name ,judge 7 name,judge 8 name,judge 9 name,r1j1over,r1j1tech,r1j1voca,r1j1orig,r1j1exec,r1j1musi,r1j2over,r1j2tech,r1j2voca,r1j2orig,r1j2exec,r1j2musi,r1j3over,r1j3tech,r1j3voca,r1j3orig,r1j3exec,r1j3musi,r1j4over,r1j4tech,r1j4voca,r1j4orig,r1j4exec,r1j4musi,r1j5over,r1j5tech,r1j5voca,r1j5orig,r1j5exec,r1j5musi,r1j6over,r1j6tech,r1j6voca,r1j6orig,r1j6exec,r1j6musi,r1j7over,r1j7tech,r1j7voca,r1j7orig,r1j7exec,r1j7musi,r1j8over,r1j8tech,r1j8voca,r1j8orig,r1j8exec,r1j8musi,r1j9over,r1j9tech,r1j9voca,r1j9orig,r1j9exec,r1j9musi,r2j1over,r2j1tech,r2j1voca,r2j1orig,r2j1exec,r2j1musi,r2j2over,r2j2tech,r2j2voca,r2j2orig,r2j2exec,r2j2musi,r2j3over,r2j3tech,r2j3voca,r2j3orig,r2j3exec,r2j3musi,r2j4over,r2j4tech,r2j4voca,r2j4orig,r2j4exec,r2j4musi,r2j5over,r2j5tech,r2j5voca,r2j5orig,r2j5exec,r2j5musi,r2j6over,r2j6tech,r2j6voca,r2j6orig,r2j6exec,r2j6musi,r2j7over,r2j7tech,r2j7voca,r2j7orig,r2j7exec,r2j7musi,r2j8over,r2j8tech,r2j8voca,r2j8orig,r2j8exec,r2j8musi,r2j9over,r2j9tech,r2j9voca,r2j9orig,r2j9exec,r2j9musi,r3j1over,r3j1tech,r3j1voca,r3j1orig,r3j1exec,r3j1musi,r3j2over,r3j2tech,r3j2voca,r3j2orig,r3j2exec,r3j2musi,r3j3over,r3j3tech,r3j3voca,r3j3orig,r3j3exec,r3j3musi,r3j4over,r3j4tech,r3j4voca,r3j4orig,r3j4exec,r3j4musi,r3j5over,r3j5tech,r3j5voca,r3j5orig,r3j5exec,r3j5musi,r3j6over,r3j6tech,r3j6voca,r3j6orig,r3j6exec,r3j6musi,r3j7over,r3j7tech,r3j7voca,r3j7orig,r3j7exec,r3j7musi,r3j8over,r3j8tech,r3j8voca,r3j8orig,r3j8exec,r3j8musi,r3j9over,r3j9tech,r3j9voca,r3j9orig,r3j9exec,r3j9musi
WDSF European Championship - Almeria 2023,1vs1 B-Boys Adult Top 64 PreQualifier,Cis,Aleon,Cis,3,5,2,1,9,6,Emmanuel fox,Kujo,Manny,Mighty Masta,Skim,,,,,-0.6,-0.9,0.7,0.7,-1.1,0,-5.6,-1.6,-2.2,0,-1.8,0,0.3,-2.9,1.5,1.3,-1,1.4,3.3,0,1.6,2.6,-2,1.1,1.5,-1.5,2.6,-0.3,0.7,0,,,,,,,,,,,,,,,,,,,,,,,,,-5.5,-0.9,0,0,-0.9,-0.7,-4.2,-1.7,-1.3,0,-1.2,0,-1.9,-1.8,1.3,0.4,-1.2,-0.6,1.3,0.5,0,2.5,-1.7,0,2.2,0,1.3,-0.2,0,1.1,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,-0.9,-0.7,0,-0.9,0,-4.7,-1.2,-1.6,0,-0.9,-1,1,-1.2,0.9,1.5,-1.2,1,-5.5,0.1,-1.7,-2.1,-1.8,0,-0.7,-1.4,0.7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
WDSF European Championship - Almeria 2023,1vs1 B-Boys Adult Top 64 PreQualifier,Tirock,Noahm,Tirock,2,5,2,0,10,0,Emmanuel fox,Kujo,Manny,Mighty Masta,Skim,,,,,-2.6,-0.4,-0.6,0,-0.8,-0.8,-1.4,0,0,0,-1.4,0,-8,-2.5,-1.5,-1.3,-1.5,-1.2,-6.3,-3.2,0,0,0,-3.1,-7,1.1,0,-3.1,-0.3,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,-3.7,-0.7,-0.8,0,-1.4,-0.8,-6.8,-2.7,-1.7,0,0,-2.4,-5.6,-1.7,-0.9,-1.6,-1.3,-0.1,-9.4,-3,0,0,-3.3,-3.1,-15.9,-1.3,-2,-5,-2.4,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF European Championship - Almeria 2023,1vs1 B-Boys Adult Top 64 PreQualifier,Jet Leg,Gimnast,Jet Leg,2,5,1,1,6,4,Emmanuel fox,Kujo,Manny,Mighty Masta,Skim,,,,,-4.4,-1.4,-0.6,-0.7,-0.8,-0.9,1.1,-2.1,1.3,2.5,-1.8,1.2,-8.8,-2.7,-1.5,-1.5,-1.9,-1.2,-3.2,-1.9,-1.5,2.1,0,-1.9,-5.7,-3.4,0.1,1.5,-1.8,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,2,0.4,0.5,0.6,0.5,0,-1,0,0,1.4,-2.4,0,-2.8,-1.5,-1.1,0.9,-1.1,0,3.5,0,1.8,1.7,0,0,3.6,1,1.1,2.4,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF European Championship - Almeria 2023,1vs1 B-Boys Adult Top 64 PreQualifier,Pesto,Martin,Pesto,2,5,2,0,7,3,Emmanuel fox,Kujo,Manny,Mighty Masta,Skim,,,,,2.5,0.8,0.9,0,0.8,0,0.1,2.6,-2.1,0,2,-2.4,-4.4,0,-1.9,-1.5,0,-1,-5.2,0,-1.5,-2.2,1.4,-2.9,-1.6,1.2,-1.8,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1.5,0.7,-0.8,0.6,1,0,-8,-2.3,-2.3,-1.5,-1.9,0,-5.9,-1.7,-1.7,-0.7,-1.4,-0.4,-5.7,0,-2.5,0,-2.2,-1,-1.8,0.7,-1.5,0,-1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF European Championship - Almeria 2023,1vs1 B-Boys Adult Top 64 PreQualifier,Lele,Zoopreme,Zoopreme,2,5,0,2,2,8,Emmanuel fox,Kujo,Manny,Mighty Masta,Skim,,,,,0.9,-1,-0.5,1,0.6,0.8,-1.1,0,1.2,0,-1.2,-1.1,8.3,2.1,1.9,2.3,0,2,6.3,0,0,2.9,0,3.4,4.6,-1,2,1.5,0.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,-0.9,-1.1,0,-0.4,0,5.1,1.7,1.4,0,1.2,0.8,3.7,0,-0.6,1.4,1.2,1.7,2.4,1.8,-1.9,-1,0,3.5,8.1,0,0.7,0.1,1.4,5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF European Championship - Almeria 2023,1vs1 B-Boys Adult Top 64 PreQualifier,Lorenzo,JohnnyFox,Lorenzo,2,5,2,0,9,1,Emmanuel fox,Kujo,Manny,Mighty Masta,Skim,,,,,-1.6,-1.1,0,0.5,-1,0,-0.6,-1.8,0,1,-0.9,1.1,-3.8,0,-1.7,0.9,-1.7,-1.3,-5.7,0,-2.3,0,-1.4,-2,-2.6,-2.8,0,1.7,-0.7,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,-3.2,-1.6,-0.7,0,-0.9,0,-1.9,-1.3,0,1,-1.6,0,-4.8,-1.3,0,-1.1,-1.2,-1.2,-5.9,-2.5,-1.9,0,-1.5,0,2.5,-1.1,1.1,1.5,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF European Championship - Almeria 2023,1vs1 B-Boys Adult Top 64 PreQualifier,Grazy,Sunni,Sunni,2,5,0,2,3,7,Emmanuel fox,Kujo,Manny,Mighty Masta,Skim,,,,,3.3,0.9,1.1,0.6,0.7,0,9.5,2.5,1.8,1.9,2.2,1.1,6.5,1.9,0,2.8,1.8,0,-2.1,-2,0,2,0,-2.1,3.2,0.8,-0.5,1.2,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,,,3.7,1.1,0.6,0.4,0.6,1,6.1,1,0.9,1,1.2,2,-4.2,-2.5,-2.4,2,0,-1.3,1.7,1.3,-1.1,1.3,2,-1.8,-2.4,-1.3,-1.6,0,-0.8,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF European Championship - Almeria 2023,1vs1 B-Boys Adult Top 64 PreQualifier,Tunde,Xak,Xak,2,5,0,2,0,10,Emmanuel fox,Kujo,Manny,Mighty Masta,Skim,,,,,2.7,0.6,0.8,0.7,0.6,0,2.9,0.9,1.7,-1.2,1.5,0,11.5,2.2,2.8,1.5,2.7,2.3,3.7,0,2.8,-1.1,2,0,1.8,-1.1,0.9,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,3.2,0.5,0.7,0.5,0.8,0.7,2.7,1.6,0,0,1.1,0,5.3,0,1.6,1.9,0,1.8,3.3,1.8,0,2,-0.5,0,1.5,0,1.2,0,1.2,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF European Championship - Almeria 2023,1vs1 B-Boys Adult Top 64 PreQualifier,Emilio,Lucky,Lucky,2,5,0,2,2,8,Emmanuel fox,Kujo,Manny,Mighty Masta,Skim,,,,,3.2,0.6,0.5,0.4,0.7,1,3.1,0,0,0,1.1,2,6.8,2,1,1.5,1.1,1.2,-3.6,-1.3,0,0,-2.3,0,0.2,1.3,-1.1,0,-0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,2.8,0.5,1,0,0.8,0.5,-4.2,-1.3,-1.3,-3.1,0,1.5,4.6,1.1,1.3,0.9,1.3,0,1.8,0,1.7,1.3,-1.2,0,1.5,1.5,-1.5,0,0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF European Championship - Almeria 2023,1vs1 B-Boys Adult Top 64 PreQualifier,Lagaet,Mons,Lagaet,2,5,2,0,10,0,Emmanuel fox,Kujo,Manny,Mighty Masta,Skim,,,,,-2.9,-0.6,-0.3,-0.7,-0.8,-0.5,-1.2,1.4,-1.6,0,-1,0,-5,-2.1,-2.5,0,-2.1,1.7,-3.3,0,-2.8,1.1,-1.6,0,-7.1,-3.8,0,-1.3,-0.9,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,-2.6,-0.9,-0.4,0.3,-0.8,-0.8,-3.4,0,-0.9,-1,0,-1.5,-6.9,-0.9,-2.1,0,-1.6,-2.3,-2.7,-1.3,-1.9,1.5,0,-1,-2.2,-1.2,-0.9,0.8,0,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF BfG World Series - Rio de Janeiro 2023,1vs1 B-Girls Adult Top 8 KnockOut,Ami,671,Ami,3,9,2,1,16,11,Allan,Dom:k,Dora,Frost,Jeromeskee,Jurskee,Kadoer,Po Ching,Xedo,-4.8,3.9,-3.3,0,-3.6,-1.8,-5.7,3.8,-5.3,-3.3,3,-3.9,-2.7,-1,-0.7,0,-1,0,-7,0,-1.6,-2.9,0,-2.5,2.9,0,1.7,0,1.2,0,-4.6,1.4,-1.5,-1.6,-0.8,-2.1,2.8,2.3,-1,-1,1.3,1.2,-24.3,-4.2,-4.5,-4.4,-4.8,-6.4,-5.7,-1.2,-0.8,-0.7,-1,-2,18.4,5.1,2.9,1.8,4.6,4,3.1,5.1,-4.4,-4.9,3.9,3.4,-0.9,0,0,0,-0.9,0,-5.7,2.2,-2.5,-2,1.5,-4.9,3.7,0,1.5,0,2.2,0,1.8,2,-1.6,-1.6,3,0,3,3.5,-1.6,-2.7,2.8,1,-24.2,-5.5,-4.1,-4.8,-4.3,-5.5,0.1,1.1,-0.9,0.8,0,-0.9,-16.4,-3.6,-3.4,-3.3,-3.1,-3,-14.1,3.4,-4.2,-4.4,-4.6,-4.3,-2.6,-1,-0.6,0,-1,0,-2.2,1.6,-2.2,-1.6,1.9,-1.9,4.5,1.6,0,0,2,0.9,2.4,1.4,1.7,-0.9,1.5,-1.3,-6.8,0.7,-1.8,-2.1,-0.7,-2.9,1.2,-4.2,-4.6,4.2,3.2,2.6,-2.4,1.3,-0.8,-1,-1,-0.9
WDSF BfG World Series - Rio de Janeiro 2023,1vs1 B-Girls Adult Top 8 KnockOut,India,Ayumi,Ayumi,3,9,0,3,8,19,Allan,Dom:k,Dora,Frost,Jeromeskee,Jurskee,Kadoer,Po Ching,Xedo,-9.2,-3.2,-2.1,0,-2.4,-1.5,11.2,-6.1,4.5,4.1,4.1,4.6,-0.6,0,0.8,0,-1.4,0,-8.6,-3.3,-1.8,0,-3.5,0,-5.1,-1.5,-1.2,0,-2.2,-0.2,6.8,0.8,2.9,2.3,0.8,0,0.9,-3.9,1.3,2.9,-1.4,2,31.7,6.4,5.1,7.2,5.2,7.8,2.2,-1.4,0.8,1.2,0.4,1.2,5.9,1.7,2.8,0,1.4,0,13,-6.3,4.5,4.2,5.8,4.8,2.1,0.7,0.7,0.7,0,0,-3.9,-3.2,1.9,2,-4.6,0,2.7,0,2.7,0,0,0,6.6,0,2.1,2.3,0.7,1.5,4.1,-1.5,2.3,2.6,-1,1.7,27.3,7.4,5.3,4.1,4.8,5.7,3.1,1.1,1.1,0.7,-1.1,1.3,-14.5,-4.3,-3.2,0,-3.3,-3.7,1.1,-6.1,4.9,3.7,3.2,-4.6,1.4,0,0.7,0.7,0,0,-1.5,-3.9,2.5,2.5,-2.6,0,-4.5,0,-1.8,0,0,-2.7,6.7,0.6,1.9,2,0,2.2,3.5,-0.9,2.4,2,0,0,30.7,5.4,5.8,5.9,6.2,7.4,0.2,-1.1,1.1,1,-1.9,1.1
WDSF BfG World Series - Rio de Janeiro 2023,1vs1 B-Girls Adult Top 8 KnockOut,671,Ayumi,671,3,9,3,0,23,4,Allan,Dom:k,Dora,Frost,Jeromeskee,Jurskee,Kadoer,Po Ching,Xedo,-20.2,-4.7,-4.6,-1.9,-4.4,-4.6,-6.4,-6.7,3.1,4.5,-3.5,-3.8,-4.1,-2.1,0.4,0.5,-1.7,-1.2,-5.8,-3.5,-0.1,2.1,-2.8,-1.5,-7.5,-2,-1.6,2.1,-2.9,-3.1,-4.8,-4,1.5,2.2,-3.5,-1,-4.7,-3.2,1.9,1.3,-3.6,-1.1,-3.4,-7,2.6,4.9,-5.4,1.5,-0.7,-1.9,0.5,0.8,-1.2,1.1,-13.9,-4.5,-2.8,0,-4,-2.6,-7,-7.1,-5.3,3.8,5,-3.4,-0.4,0,0.4,-0.4,-0.4,0,3.5,-1.5,2.7,2.5,-1.7,1.5,-8.2,-1.8,-1.9,0,-2.4,-2.1,-4.4,-2.5,-0.4,2.3,-1.6,-2.2,-4.9,-3.7,1,2.2,-2.2,-2.2,20.7,3.4,4,4.1,4.5,4.7,2.2,-0.8,0.8,0.5,0.9,0.8,-18.7,-4.2,-4.7,-4.1,-4,-1.7,-1,-7.4,4.3,3.3,-6.2,5,-1.3,-0.8,0.8,-0.4,-0.9,0,-5,-2.6,-1.8,1.9,-2.5,0,-5.9,-1.6,-1.4,0,-1.6,-1.3,-2.4,-1.5,-1,2,-1.9,0,-3.4,-2.6,1.8,2.6,-2.1,-3.1,16.2,1.7,3.8,3.1,4.8,2.8,-1,0,0,0.8,-1.8,0
WDSF BfG World Series - Rio de Janeiro 2023,1vs1 B-Girls Adult Top 8 KnockOut,Ami,India,Ami,3,9,2,1,19,8,Allan,Dom:k,Dora,Frost,Jeromeskee,Jurskee,Kadoer,Po Ching,Xedo,-16,-4,-3.8,0,-4.4,-3.8,-23.5,-6.5,-4.1,-4.1,-4.1,-4.7,-1.2,0,-0.5,0,-0.7,0,-10.3,2,-3,-2.5,-2.5,-4.3,-4.6,0,-2.2,0,0,-2.4,-8,-1.9,-2.4,-2.1,-1.6,0,-5.8,1.5,-2.4,-2.4,-2.5,0,-23.6,-4,-5.1,-4.7,-4.5,-5.3,-4.5,-1,-1.2,0,-1.1,-1.2,-2.7,3.5,-3.3,0,-2.9,0,-19,-3.8,-3.1,-4.1,-4.5,-3.5,-1.1,0,-0.6,0,-0.5,0,-3.4,3,-1.7,-2.4,-0.3,-2,3.2,0,1.2,0,2,0,-2.8,-0.2,-2.1,-1.3,0.8,0,2,1.9,-2.2,-2,1.9,2.4,5.3,-2.1,-3.4,4,3.9,2.9,-2.1,1.1,-0.9,0,-1.1,-1.2,3.7,0,0,3.2,-2.3,2.8,-4.9,-3.9,-4.6,3.7,-4.5,4.4,1,0,0.4,0,0.6,0,3.3,2.1,2.1,-1.6,2.3,-1.6,0.5,-0.9,-1.6,0,3,0,4.9,1.2,-1.2,1.4,1.9,1.6,-2,1.6,-1.6,-1.7,1.3,-1.6,-13.6,-3.1,-4.1,-4.9,-4.5,3,-1.8,0.6,-1.3,-1.1,0,0
WDSF BfG World Series - Rio de Janeiro 2023,1vs1 B-Girls Adult Top 8 KnockOut,Stefani,Ayumi,Ayumi,2,9,0,2,3,15,Allan,Dom:k,Dora,Frost,Jeromeskee,Jurskee,Kadoer,Po Ching,Xedo,14.7,3.5,3.6,0,4.1,3.5,2.4,-4,4.1,3.2,3.4,-4.3,2.4,0.8,0.7,0.9,0,0,5.6,2.3,2.1,0,3.1,-1.9,3.5,0,1.5,0,0,2,8.6,0.9,2.7,2.6,2.4,0,5.8,2.3,2.1,-1.7,1.3,1.8,24.1,4.7,5,4.6,5,4.8,0.6,0,0.6,1.7,-1,-0.7,13.2,4.4,4.3,2,4.5,-2,13.9,3.3,5.8,3,5,-3.2,2,1.2,0.9,0.6,0,-0.7,7.2,0,3.9,3.9,1.9,-2.5,-5,0,0,0,-2.5,-2.5,-0.3,1.2,-1.6,-1,1.1,0,2,3.1,2.1,-2.1,1.8,-2.9,-12.6,4,-4.7,-4.9,-3.6,-3.4,1.8,1,0,0.9,-1.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF BfG World Series - Rio de Janeiro 2023,1vs1 B-Girls Adult Top 8 KnockOut,Senorita Carlota,671,671,2,9,0,2,2,16,Allan,Dom:k,Dora,Frost,Jeromeskee,Jurskee,Kadoer,Po Ching,Xedo,18.7,4.1,3.6,2.7,4.2,4.1,14.2,5.8,4,-4.7,5.6,3.5,4,0.5,1.2,1,0.7,0.6,0.1,4.4,-2.1,-3.5,2.8,-1.5,7.1,1.5,2.3,0,3.3,0,7.6,2.2,1.6,0,3.8,0,7.1,3.7,1.3,-1,1.5,1.6,17.5,3.3,3.6,3.1,3.8,3.7,1.5,1.8,0.8,-0.8,1.1,-1.4,23.3,5.9,4.3,2.7,5.3,5.1,13.9,4.9,4.5,-4,4.3,4.2,3.6,1,0.8,0.9,0.5,0.4,-6.8,-1.1,-2,-3,2,-2.7,2.5,0,2.5,0,0,0,2.4,2.5,0,-1.5,2.2,-0.8,6.2,2,-1,1,1.5,2.7,23.5,2.9,4,5.6,4,7,-1.9,-1.1,0.6,-1.1,0.7,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF BfG World Series - Rio de Janeiro 2023,1vs1 B-Girls Adult Top 8 KnockOut,India,Anti,India,2,9,2,0,13,5,Allan,Dom:k,Dora,Frost,Jeromeskee,Jurskee,Kadoer,Po Ching,Xedo,-18,-3.6,-3.8,-1.7,-4.5,-4.4,-13.4,-6.6,-4.1,-3.8,-3.6,4.7,1.1,0,0.6,0,0.5,0,-2.6,-3.1,-3.1,2.7,-1.7,2.6,-3,0,-3,0,0,0,-4.7,-1.7,-2.4,1.2,-1.8,0,-1.1,-1.5,1,1,-1.6,0,-12.8,-2.4,-2.8,-2.1,-2.8,-2.7,-0.5,-1.9,0,1.3,-0.7,0.8,-20.8,-4.1,-4,-4,-4.3,-4.4,-15.1,-6.4,-3.9,-5,-4.2,4.4,1.6,0.7,0.9,0,0,0,-2.5,-3.7,2.2,2.2,-4.9,1.7,-2.3,-1.5,-0.8,0,0,0,-0.7,-2.1,2.1,1.4,-2.1,0,3.5,1.3,1.2,-1.5,1.3,1.2,12.4,2.4,2.3,2.9,2.7,2.1,3,-0.7,0.7,1.4,0.7,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF BfG World Series - Rio de Janeiro 2023,1vs1 B-Girls Adult Top 8 KnockOut,Nicka,Ami,Ami,3,9,1,2,8,19,Allan,Dom:k,Dora,Frost,Jeromeskee,Jurskee,Kadoer,Po Ching,Xedo,15.1,2.9,3.8,0,4.6,3.8,14.5,3.9,5,-6.7,6.2,6.1,0.8,0,0,0,0.8,0,12.6,3.3,1.9,1.7,4.2,1.5,4.3,0,1.1,1.3,1.9,0,13,1.7,3.4,2.8,3.3,1.8,1.8,-1,1.2,-1.7,0.8,2.5,8.1,4.9,3.1,-4.5,2.8,1.8,3.1,0.7,0.8,-0.7,1.2,1.1,-10.9,-1.4,-2.3,0,-3.2,-4,-15.2,-4.8,4.8,-5.1,-5.4,-4.7,-1.4,-0.7,0,0,-0.7,0,7.9,-2.4,1.8,3.1,1.6,3.8,-2.5,0,0,0,-2.5,0,7.3,1.4,2.7,1.8,1.4,0,-7.4,-2.5,1.3,-1.6,-3,-1.6,-5.8,-2.2,-1.6,2,-2.2,-1.8,0.7,0.6,0.8,-0.6,-0.8,0.7,-2.8,-3.5,1.4,0,-3.3,2.6,4.2,-6.6,3.8,-2.2,3.7,5.5,0.6,0,0,0,0.6,0,2.6,-3.2,1.6,4.1,-2,2.1,2.1,0,1.9,0,-2.1,2.3,6.5,1.7,2,0.8,2,0,-1.4,-1.5,2.3,1.2,-4.3,0.9,14.6,2.9,2.7,3,2.6,3.4,0.4,-1,1.1,0,-1.1,1.4
WDSF BfG World Series - Rio de Janeiro 2023,1vs1 B-Girls Adult Top 16 RoundRobin,Ayumi,Jilou,Ayumi,2,9,2,0,16,2,Allan,Dom:k,Dora,Frost,Jeromeskee,Jurskee,Kadoer,Po Ching,Xedo,-24.1,-5.4,-4.9,-4.2,-4.7,-4.9,-18.3,3.2,-4.7,-6,-6.8,-4,-3.9,-1.2,-1.2,-0.7,-0.8,0,-11,-3.4,-2.7,0,-4.9,0,-6.7,-1.2,-1.9,-1,-2.6,0,-4.6,1.6,-2.3,-1.9,-2,0,-4.8,-2.7,-1.3,-0.2,-2.2,1.6,-21.8,-4.3,-3.3,-4.5,-4.2,-5.5,-6.9,-1.9,-1.2,-1,-2,-0.8,-17,-4.9,-3.7,-2.7,-3.6,-2.1,-17.8,2.7,-6.2,-4.3,-4.9,-5.1,0.6,0,0,0,0.6,0,-11.3,-3.7,-3.2,-1.9,-2.5,0,3,0,0,0,3,0,-6.1,0,-2.3,-1.7,-2.1,0,-2,-1.5,0.8,0.8,-2,-0.1,-17.7,-3.9,-3.4,-3,-3,-4.4,-3.1,-0.6,-1.1,-1.2,0.5,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF BfG World Series - Rio de Janeiro 2023,1vs1 B-Girls Adult Top 16 RoundRobin,Jilou,Sunny,Jilou,2,9,1,1,11,7,Allan,Dom:k,Dora,Frost,Jeromeskee,Jurskee,Kadoer,Po Ching,Xedo,-7.3,2.3,-3.2,0,-3.3,-3.1,13.2,4,5.3,4.3,5.1,-5.5,-0.6,0,0,0,-0.6,0,-2.7,-2.4,-1.3,-2.5,2.7,0.8,1.5,0,1.5,0,0,0,7.6,2.2,0,1.6,2.7,1.1,1.2,-1,-0.8,1.1,-1,2.9,17.3,3.6,3.9,2.9,3.5,3.4,-2.6,1.5,-1,-1.3,-1,-0.8,-13,-3.7,-3.6,-1.3,-3.1,-1.3,-12.1,3.9,-3.9,-3.8,-5.8,-2.5,-1.3,0,0,0,-1.3,0,-3.6,-1.8,0,0,-1.8,0,-2.3,0,0,0,-2.3,0,0.7,1.3,0,0.9,-1.5,0,-2.5,-2.2,0.9,-0.7,-2,1.5,23.5,4.5,5,4.7,5,4.3,-4.4,-1,-1,0,-1.6,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF BfG World Series - Rio de Janeiro 2023,1vs1 B-Girls Adult Top 16 RoundRobin,Sunny,Ayumi,Ayumi,2,9,1,1,5,13,Allan,Dom:k,Dora,Frost,Jeromeskee,Jurskee,Kadoer,Po Ching,Xedo,-3.4,-3.8,3.1,0,-2.7,0,3.9,-6.4,3.8,5.6,4.8,-3.9,-1.8,-0.9,1,0,-1.9,0,5.5,-1.2,2.1,2.9,1.7,0,-2.2,0,-2.2,0,0,0,-3.1,-2.9,2.3,2.4,-3,-1.9,1.3,-2,1.5,1,-1,1.8,19.7,4.7,3.5,4,4.2,3.3,-2.9,-1.1,0,0.2,-0.9,-1.1,12.5,3.1,3,0,3.3,3.1,13.1,-4.9,4.7,4.5,3.5,5.3,4.1,1.2,1,1,0.9,0,7.4,0,1.9,3.9,1.6,0,1.4,0,1.4,0,0,0,5.7,0,1.8,1.7,1,1.2,3.3,-1.3,0.7,0.7,1.6,1.6,27.9,5.7,5.4,5.7,4.9,6.2,1.7,1,0,0.7,0.7,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF BfG World Series - Rio de Janeiro 2023,1vs1 B-Girls Adult Top 16 RoundRobin,Sunny,Nicka,Nicka,2,9,0,2,3,15,Allan,Dom:k,Dora,Frost,Jeromeskee,Jurskee,Kadoer,Po Ching,Xedo,4.7,3.6,3.2,0,-2.1,0,4.7,3.8,-2.7,3.2,3.9,-3.5,-1.2,0,0,0,-0.9,-0.3,4,0,1.9,-1.5,3.6,0,3.7,0,1.3,0,2.4,0,7.2,1.9,1.3,1.9,2.1,0,6.3,1.7,0.6,0.8,0.9,2.3,16.1,2.9,3.5,2.9,3.8,3,5,0.9,1,1.3,1.2,0.6,18.3,4.2,3.9,3.2,3.5,3.5,13.3,-5.3,7.1,2.5,5,4,2.2,0.9,0,0,1.3,0,-2.6,3.1,-3.2,-3.6,1.1,0,-4.5,0,-2.3,0,0,-2.2,5.7,2.1,1.5,0,2.1,0,3.4,3.3,1.3,-1.1,1.6,-1.7,17.1,4.5,3.1,1.9,3.6,4,2.2,1.2,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
