event,stage,breaker 1 (red),breaker 2 (blue),winner,battle rounds,number of judges,breaker 1 round wins,breaker 2 round wins,breaker 1 vote count,breaker 2 vote count,judge 1 name ,judge 2 name,judge 3 name,judge 4 name,judge 5 name,judge 6 name ,judge 7 name,judge 8 name,judge 9 name,r1j1over,r1j1tech,r1j1vari,r1j1perf,r1j1musi,r1j1crea,r1j1pers,r1j1but1,r1j1but2,r1j2over,r1j2tech,r1j2vari,r1j2perf,r1j2musi,r1j2crea,r1j2pers,r1j2but1,r1j2but2,r1j3over,r1j3tech,r1j3vari,r1j3perf,r1j3musi,r1j3crea,r1j3pers,r1j3but1,r1j3but2,r1j4over,r1j4tech,r1j4vari,r1j4perf,r1j4musi,r1j4crea,r1j4pers,r1j4but1,r1j4but2,r1j5over,r1j5tech,r1j5vari,r1j5perf,r1j5musi,r1j5crea,r1j5pers,r1j5but1,r1j5but2,r1j6over,r1j6tech,r1j6vari,r1j6perf,r1j6musi,r1j6crea,r1j6pers,r1j6but1,r1j6but2,r1j7over,r1j7tech,r1j7vari,r1j7perf,r1j7musi,r1j7crea,r1j7pers,r1j7but1,r1j7but2,r1j8over,r1j8tech,r1j8vari,r1j8perf,r1j8musi,r1j8crea,r1j8pers,r1j8but1,r1j8but2,r1j9over,r1j9tech,r1j9vari,r1j9perf,r1j9musi,r1j9crea,r1j9pers,r1j9but1,r1j9but2,r2j1over,r2j1tech,r2j1vari,r2j1perf,r2j1musi,r2j1crea,r2j1pers,r2j1but1,r2j1but2,r2j2over,r2j2tech,r2j2vari,r2j2perf,r2j2musi,r2j2crea,r2j2pers,r2j2but1,r2j2but2,r2j3over,r2j3tech,r2j3vari,r2j3perf,r2j3musi,r2j3crea,r2j3pers,r2j3but1,r2j3but2,r2j4over,r2j4tech,r2j4vari,r2j4perf,r2j4musi,r2j4crea,r2j4pers,r2j4but1,r2j4but2,r2j5over,r2j5tech,r2j5vari,r2j5perf,r2j5musi,r2j5crea,r2j5pers,r2j5but1,r2j5but2,r2j6over,r2j6tech,r2j6vari,r2j6perf,r2j6musi,r2j6crea,r2j6pers,r2j6but1,r2j6but2,r2j7over,r2j7tech,r2j7vari,r2j7perf,r2j7musi,r2j7crea,r2j7pers,r2j7but1,r2j7but2,r2j8over,r2j8tech,r2j8vari,r2j8perf,r2j8musi,r2j8crea,r2j8pers,r2j8but1,r2j8but2,r2j9over,r2j9tech,r2j9vari,r2j9perf,r2j9musi,r2j9crea,r2j9pers,r2j9but1,r2j9but2,r3j1over,r3j1tech,r3j1vari,r3j1perf,r3j1musi,r3j1crea,r3j1pers,r3j1but1,r3j1but2,r3j2over,r3j2tech,r3j2vari,r3j2perf,r3j2musi,r3j2crea,r3j2pers,r3j2but1,r3j2but2,r3j3over,r3j3tech,r3j3vari,r3j3perf,r3j3musi,r3j3crea,r3j3pers,r3j3but1,r3j3but2,r3j4over,r3j4tech,r3j4vari,r3j4perf,r3j4musi,r3j4crea,r3j4pers,r3j4but1,r3j4but2,r3j5over,r3j5tech,r3j5vari,r3j5perf,r3j5musi,r3j5crea,r3j5pers,r3j5but1,r3j5but2,r3j6over,r3j6tech,r3j6vari,r3j6perf,r3j6musi,r3j6crea,r3j6pers,r3j6but1,r3j6but2,r3j7over,r3j7tech,r3j7vari,r3j7perf,r3j7musi,r3j7crea,r3j7pers,r3j7but1,r3j7but2,r3j8over,r3j8tech,r3j8vari,r3j8perf,r3j8musi,r3j8crea,r3j8pers,r3j8but1,r3j8but2,r3j9over,r3j9tech,r3j9vari,r3j9perf,r3j9musi,r3j9crea,r3j9pers,r3j9but1,r3j9but2,r4j1over,r4j1tech,r4j1vari,r4j1perf,r4j1musi,r4j1crea,r4j1pers,r4j1but1,r4j1but2,r4j2over,r4j2tech,r4j2vari,r4j2perf,r4j2musi,r4j2crea,r4j2pers,r4j2but1,r4j2but2,r4j3over,r4j3tech,r4j3vari,r4j3perf,r4j3musi,r4j3crea,r4j3pers,r4j3but1,r4j3but2,r4j4over,r4j4tech,r4j4vari,r4j4perf,r4j4musi,r4j4crea,r4j4pers,r4j4but1,r4j4but2,r4j5over,r4j5tech,r4j5vari,r4j5perf,r4j5musi,r4j5crea,r4j5pers,r4j5but1,r4j5but2,r4j6over,r4j6tech,r4j6vari,r4j6perf,r4j6musi,r4j6crea,r4j6pers,r4j6but1,r4j6but2,r4j7over,r4j7tech,r4j7vari,r4j7perf,r4j7musi,r4j7crea,r4j7pers,r4j7but1,r4j7but2,r4j8over,r4j8tech,r4j8vari,r4j8perf,r4j8musi,r4j8crea,r4j8pers,r4j8but1,r4j8but2,r4j9over,r4j9tech,r4j9vari,r4j9perf,r4j9musi,r4j9crea,r4j9pers,r4j9but1,r4j9but2,r5j1over,r5j1tech,r5j1vari,r5j1perf,r5j1musi,r5j1crea,r5j1pers,r5j1but1,r5j1but2,r5j2over,r5j2tech,r5j2vari,r5j2perf,r5j2musi,r5j2crea,r5j2pers,r5j2but1,r5j2but2,r5j3over,r5j3tech,r5j3vari,r5j3perf,r5j3musi,r5j3crea,r5j3pers,r5j3but1,r5j3but2,r5j4over,r5j4tech,r5j4vari,r5j4perf,r5j4musi,r5j4crea,r5j4pers,r5j4but1,r5j4but2,r5j5over,r5j5tech,r5j5vari,r5j5perf,r5j5musi,r5j5crea,r5j5pers,r5j5but1,r5j5but2,r5j6over,r5j6tech,r5j6vari,r5j6perf,r5j6musi,r5j6crea,r5j6pers,r5j6but1,r5j6but2,r5j7over,r5j7tech,r5j7vari,r5j7perf,r5j7musi,r5j7crea,r5j7pers,r5j7but1,r5j7but2,r5j8over,r5j8tech,r5j8vari,r5j8perf,r5j8musi,r5j8crea,r5j8pers,r5j8but1,r5j8but2,r5j9over,r5j9tech,r5j9vari,r5j9perf,r5j9musi,r5j9crea,r5j9pers,r5j9but1,r5j9but2
WDSF World Championship 2021 - Paris,B-Boys Top 8 Knockout,Luan San,Amir,Amir,4,9,1,3,6,30,Valentine,Storm,Dora,FastFoot,Skim,Bojin,Extremo,Kim,Kujo,4.53,0,0,0,-1.47,6,0,,,5.53,2,0,2.4,-0.27,1.4,0,,,3,2.2,0,0,0,0.8,0,,,0.2,-1.6,0.93,0,-1.73,2.6,0,,,6,2.6,2.13,0,0,1,0.27,,,13.8,7.4,-0.8,0,0,4.4,2.8,1x Form,1x Form,4.6,2.2,0,0,0,2.4,0,,,1.73,1.2,0,0,-1.33,2.8,-0.93,,,2.93,2.4,0,-2,-1.33,5.2,-1.33,1x Confidence,,6.6,2.2,0,0,0,4.4,0,,,11.47,2.2,1.73,2.8,1.33,1.8,1.6,,,2,1,0,0,0,1,0,,,11,4,1.87,4,0,1.4,-0.27,,1x Execution1x Form,6.2,2,0.67,1,-1.73,4,0.27,,,1.07,-0.8,0,-2,0,2.4,1.47,1x Execution,,4.33,1,1.33,0,0,2,0,1x Repeat,,4.13,0.2,0,0,1.73,2.2,0,,,9.33,4,0,1.8,-2.13,7.8,-2.13,1x Execution,1x Execution2x Form,-3,0,0,-2.2,-0.8,0,0,,,5.47,1,0,2.8,-0.53,2.2,0,,,2,0,0,0,0,2,0,,,10.13,4,1.33,4,0,2,-1.2,,1x Execution1x Form,-2.13,-2.2,1.73,0,-1.07,-0.6,0,,,-1,-5,0,4,0,0,0,,1x Execution1x Form,-1.4,-2,0,0,0,0.6,0,,,3.87,0,0,2.2,-2.13,3.8,0,,,-5.47,-6.6,4,-4.2,-2,4.4,-1.07,1x Execution,1x Form,-2,-2,0,-2,0,2,0,1x Form,,6.6,2.4,0.8,1,-0.67,1.6,1.47,,,2.4,1,0.4,0,0,1,0,,,11.67,4,1.47,4,0,2.2,0,,1x Execution1x Form,1.53,2.6,0.53,0,-1.6,0,0,,,6.6,2,0,2,0,1,1.6,,1x Form,1.8,0.4,0,0,0,1.4,0,,,1.6,0,0,0,2,-0.4,0,,,10.67,4.6,3.07,-1.6,-0.4,7.4,-2.4,,1x Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF World Championship 2021 - Paris,B-Boys Top 8 Knockout,Amir,Phil Wizard,Phil Wizard,2,9,0,2,5,13,Valentine,Storm,Dora,FastFoot,Skim,Bojin,Extremo,Kim,Kujo,6.67,4,0,4,1.87,-3.2,0,,1x Execution1x Form,2.87,1,0,1.4,1.33,-1.8,0.93,,,0.53,0,0,0,0.53,0,0,,,9.33,4,0,4,1.33,0,0,,1x Execution1x Form,1.27,1.8,0.27,-1.6,-0.4,1.2,0,,,-13.67,-3.2,-1.07,-4,0,-3,-2.4,1x Execution1x Form,,5.2,2,0,3.2,0,0,0,,1x Execution,-3.13,0.2,0,0,0.13,-2,-1.47,,,-11.2,-5.6,-1.73,-1.8,-1.73,-4.2,3.87,1x Execution1x Form,1x Execution,15.6,4,0,6,3.6,2,0,,1x Execution1x Form1x Spontaneity,6.8,2,0.67,3,3.73,-2.6,0,,,-0.6,0,0,0,0,-0.6,0,,,6.27,2,0,1.8,1.2,0.2,1.07,1x Spontaneity,1x Spontaneity,4.73,0.6,2,0,0.93,1.2,0,,,2.73,1,0,0,0,0,1.73,1x Form,1x Form,1.33,0.6,0,2,0.53,-1.8,0,,1x Execution,0.4,-2,0,2.8,1.2,-1.6,0,,,-6.53,-0.2,-1.87,-3.8,2.8,-7.2,3.73,-1x Execution,1x Confidence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF World Championship 2021 - Paris,B-Boys Top 8 Knockout,Victor,Luan San,Victor,2,9,2,0,16,2,Valentine,Storm,Dora,FastFoot,Skim,Bojin,Extremo,Kim,Kujo,-14.8,-6,0,-6,0,-2.8,0,2x Execution,-1x Form,-3,-1.2,0,-1.2,0,-0.6,0,,,-1.4,-0.6,-0.8,0,0,0,0,,,-12.53,-4,0,-6,0,-2,-0.53,1x Execution1x Form1x Spontaneity,,-5.73,2.2,-2.93,-1.4,-1.6,-1.6,-0.4,,,2,3.8,-2.13,0,0,3.4,-3.07,1x Execution1x Form,1x Execution1x Form,-4.6,-2,0,-0.6,0.8,-2.8,0,1x Execution,,-2.4,-0.8,-1.2,0.8,1.6,-2.8,0,,,-12.07,-5.8,-0.93,-2.8,-0.93,-1.6,0,1x Execution1x Form,,-14,-6,0,-6,0,-2,0,2x Execution1x Form,,-6.27,-2.6,-1.33,-0.8,1.07,-1,-1.6,,,0.67,0,-0.13,0.8,0,0,0,,,-11.07,-4,-1.73,-4,-1.33,0,0,1x Execution1x Form,,-3.67,-2,0.8,0,0,-0.6,-1.87,,,-14.73,-8.2,-1.47,-4,0,0,-1.07,1x Execution1x Form,,-2.6,-0.8,-0.8,0,0,-1,0,,,-0.87,0,0,0,0.93,-1.8,0,,,-16.07,-8.2,-3.07,-2,-0.67,-4.8,2.67,1x Execution1x Form,1x Execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF World Championship 2021 - Paris,B-Boys Top 8 Knockout,Phil Wizard,Mini Joe,Phil Wizard,2,9,2,0,15,3,Valentine,Storm,Dora,FastFoot,Skim,Bojin,Extremo,Kim,Kujo,-1.8,2,0,2,0,-5.8,0,,1x Execution,-4.4,-1.4,0,-1.4,0.8,-2.4,0,,,-3.4,0,0,-0.6,0,-2.8,0,,,-4.4,1,-1.2,-2.2,0,-2,0,1x Spontaneity,,-5.47,-2.6,0,-1.2,1.6,-2.6,-0.67,,,2.27,1,1.2,2,0,-3,1.07,1x Execution1x Form,1x Confidence1x Execution1x Form,-7.73,-1.2,0,-2,0,-3.2,-1.33,1x Confidence,,-1.6,1.4,0.8,0,-0.13,-4.6,0.93,,,5.67,6,-1.6,4,-0.93,-4.6,2.8,1x Confidence-2x Execution,1x Confidence1x Execution-1x Spontaneity,3.33,2,0,4,1.6,-5.6,1.33,,1x Confidence1x Execution,-8.8,-2,-1.73,-1.8,0.53,-3.8,0,,,-2,0,-0.8,0,0,-1.2,0,,,-6.73,-1.4,-1.87,0,-1.33,-2.8,0.67,,,-3.47,1,0,-2,0.53,-1.8,-1.2,,,-1.87,-2.2,-2.67,6,0,-3,0,,1x Execution2x Form,-2.4,0.2,0,0,0,-2.6,0,,,-4,-2.4,0,0,1.2,-2.8,0,,,-2.67,5.2,0,-0.4,-1.2,-7.6,1.33,-1x Execution,1x Confidence-1x Execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF World Championship 2021 - Paris,B-Boys Top 8 Knockout,Amir,Dany Dann,Amir,3,9,2,1,14,13,Valentine,Storm,Dora,FastFoot,Skim,Bojin,Extremo,Kim,Kujo,11.33,4,0,6,0,0,1.33,,1x Confidence2x Execution,4.8,1.8,0,3,2.4,-2.4,0,,,-0.6,0,0,0,0,-0.6,0,,,-10.6,-4,-1.33,-4,0.93,-2.2,0,1x Execution1x Form,,3.47,3,0.4,0,1.47,-1.4,0,,,-21.13,-5.2,0.93,-10,3.87,-7,-3.73,2x Execution2x Form1x Spontaneity,,5.4,3.6,0,2,1.07,-2.6,1.33,,1x Confidence,0.07,3,0,0,1.33,-2.8,-1.47,,,4,2.6,-1.33,5,2.4,-6.8,2.13,1x Form,1x Confidence,8.93,4,0,6,0,-2.4,1.33,,1x Confidence2x Execution,0.13,-0.6,0,1.6,2.13,-3,0,,,-1.93,0,-0.53,0,0,-1.4,0,,,-5.6,-0.8,-1.6,-2,0,-2,0.8,1x Spontaneity,,2,0,1.33,0,0.67,0,0,,,-6.27,-2.4,-0.4,1.4,0,-1.4,-3.47,1x Form,1x Confidence,1.93,0.2,0,2,0.8,-2.4,1.33,,1x Confidence,-1.93,0,0,0,-0.4,-0.2,-1.33,,,-24.13,-7.4,-7.2,0,-0.67,-10.2,1.33,1x Form,1x Confidence-1x Execution1x Form,11.33,4,0,6,0,0,1.33,,1x Confidence1x Execution1x Form,-1,-1,0,0,1.2,0,-1.2,,,0.4,0,0,0.4,0,0,0,,,-6.73,0,-1.87,1.2,-1.73,-2.2,-2.13,,,-0.8,0,0,0,0.8,-1.6,0,,,-5.2,-3,0,2,-1.73,-2.2,-0.27,1x Form,1x Confidence1x Execution,0.6,2.2,0,1.2,0,-2.8,0,,,-0.87,2.6,0,0.8,0.13,-4.4,0,,,-5.53,2.4,-4.13,0,-1.07,-4.6,1.87,-1x Execution,-1x Execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF World Championship 2021 - Paris,B-Boys Top 8 Knockout,Gun,Luan San,Luan San,3,9,1,2,11,16,Valentine,Storm,Dora,FastFoot,Skim,Bojin,Extremo,Kim,Kujo,0.6,2,0,2,0,-3.4,0,,1x Execution,-0.07,-0.8,0,-0.6,2.53,-1.2,0,,,-2.13,0,-0.53,0,0,-1.6,0,,,-11.27,-4,0,-4,0,-1.8,-1.47,1x Execution1x Form,,-3.6,0,0,0,1.07,-3.6,-1.07,,,7.4,7.2,0.27,4,0.8,-3,-1.87,,1x Execution1x Form,-4.6,-0.4,0,0,0,-4.2,0,,,-1.13,2,-0.93,0,-1.2,-2.2,1.2,,,9,5.2,0.67,5.4,-0.8,-4.4,2.93,,1x Confidence,-6.13,0,-1.33,0,0,-4.8,0,,1x Repeat,2.6,0.4,0,1.2,2,-1,0,,,-2,0,-0.8,0,0,-1.2,0,,,8,4,0,4,0,0,0,,1x Execution1x Form,4.2,2.6,0,1.2,0.93,0,-0.53,,,3.8,2.2,0,2,0,0,-0.4,,1x Confidence,0.2,1.8,0,0,0,-1.6,0,,,-2.27,0,0,0,-0.93,0,-1.33,,,8.73,8.2,0,7.2,-1.47,-5.2,0,-1x Execution,1x Repeat1x Execution,-7.8,-2,0,-2,0,-3.8,0,,-1x Form,2.07,1,0,1.8,1.47,-2.2,0,,,0.87,0,0,0.6,0.27,0,0,,,1.6,2.6,1.2,0.6,1.07,-2.8,-1.07,,,1.73,1.6,0,0,0.67,0,-0.53,,,3,5,-0.67,1,-0.67,-1,-0.67,,1x Form1x Slip,1.2,1.2,0,0,0,0,0,-1x Execution,-1x Execution,1.13,0,0,0,0.13,1,0,,,-1.93,3.6,-0.67,1,-1.2,-5.6,0.93,-2x Execution,-1x Execution1x Slip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF World Championship 2021 - Paris,B-Boys Top 8 Knockout,Xak,Victor,Victor,2,9,0,2,4,14,Valentine,Storm,Dora,FastFoot,Skim,Bojin,Extremo,Kim,Kujo,12,6,0,6,0,0,0,,2x Execution1x Form,8.4,4.2,0,2.2,0,2,0,,,0.2,0.2,0,0,0,0,0,,,10.93,4,2,4,0,0,0.93,,1x Execution1x Form,3.07,2,0.67,1.8,0,-2.2,0.8,,,5.13,3.8,1.33,0,0,0,0,1x Execution1x Form,1x Execution1x Form,5.93,2.4,0,2,0,0.2,1.33,,1x Confidence,5.8,2.6,0,0,1.6,1.6,0,,,15,8.2,1.73,6.8,-1.87,-1.2,1.33,,1x Confidence1x Execution1x Form,8,4,0,4,0,0,0,,2x Execution,6.6,3.4,0,1.6,0,1.6,0,,,-0.67,0,-0.67,0,0,0,0,,,-1.2,-1.8,1.47,-1.4,0.53,0,0,,,2.53,0,1.2,0,0.13,1.2,0,,,-5.2,3.6,0.27,-4,0,-2.8,-2.27,1x Execution1x Form,,-2.8,-1.6,0,0,0,-1.2,0,,,1.33,0,1.2,0,-0.67,0.8,0,,,7.27,4.6,1.73,2,-1.33,1.6,-1.33,1x Confidence,1x Execution1x Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF World Championship 2021 - Paris,B-Boys Top 32 Round Robin Group H,Deeogo,Xiangyu,Xiangyu,2,5,1,1,4,6,Skim,Storm,Extremo,Kujo,Dora,,,,,-2.8,0,1.73,-1.2,0,-2.8,-0.53,,,4.47,2,1.07,2,0,-0.6,0,,1x Execution,-2.4,-0.8,0,0,0,-1.6,0,,,-3.47,1.2,0,-2.8,2.67,-3.2,-1.33,1x Execution,1x Spontaneity,1.93,0,0.53,1.4,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,2.4,1.87,0,0,1.8,0.13,,,9,3,0.8,3.4,0,1.8,0,,,3.8,2.4,0,1.4,0,0,0,,,-8.47,-0.6,-1.33,0,-2,-3.2,-1.33,1x Execution1x Spontaneity,1x Bite2x Execution,4.53,2,0.53,2,0,0,0,-1x Execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF World Championship 2021 - Paris,B-Boys Top 32 Round Robin Group H,Gun,Lorenzo,Gun,2,5,2,0,8,2,Skim,Storm,Extremo,Kujo,Dora,,,,,0.13,3.2,0.53,0,0,-3.6,0,,,-7.53,0,0,-4.4,0,-1.8,-1.33,1x Confidence,,-2.4,0,-0.8,0,0,-1.6,0,,,-13.8,0.2,-2.93,-4,-1.07,-6.8,0.8,1x Execution1x Form,,-2.07,0,0,0,0,-1,-1.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.47,-0.6,0,-1.4,0,2.6,-1.07,,,-3,-2,-0.8,0.6,0,-0.8,0,,,-5.4,-2,0,-2,0,-1.4,0,,-1x Execution,-14.2,-3.6,0,0,-1.2,-9.4,0,,,1.6,1,0,0.6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF World Championship 2021 - Paris,B-Boys Top 32 Round Robin Group H,Gun,Xiangyu,Gun,2,5,1,1,7,3,Skim,Storm,Extremo,Kujo,Dora,,,,,5.53,6.6,1.73,0,-0.4,-2.4,0,,,12.13,6.2,0,2.8,0,1.8,1.33,,,-2.8,-0.2,0,0,0,-2.6,0,,,0.47,5.8,2,-5.2,-0.27,-1.6,-0.27,1x Execution1x Form,-1x Execution,-0.8,0,0,0,0,-0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.73,0,-1.2,0,1.87,-2.4,0,,,-0.87,0.6,-0.13,1,-0.67,-1,-0.67,-1x Execution,1x Slip,-10,-2,-1.33,-2,-1.33,-2,-1.33,,1x Crash,-23.07,1.6,-4.13,-3.4,-4.67,-9.4,-3.07,-1x Execution,1x Slip1x Crash,-5,-1,-0.67,-1,-0.67,-1,-0.67,,1x Slip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF World Championship 2021 - Paris,B-Boys Top 32 Round Robin Group H,Deeogo,Lorenzo,Lorenzo,2,5,0,2,4,6,Skim,Storm,Extremo,Kujo,Dora,,,,,-0.73,2.8,-1.2,0,0,-1.8,-0.53,,,-3.93,-0.8,0,-1.2,0,-1.4,-0.53,,,4.47,3,1.47,0,0,0,0,,,7.53,9,-0.93,2,-1.87,-2,1.33,1x Execution,1x Confidence1x Execution1x Form,1.4,1.4,0,0,0,0,0,,-1x Execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07,2.4,1.07,0,0,-1.4,0,,,9.47,2.6,0,3.2,0,1.4,2.27,,,1.2,1.2,0,0,0,0,0,,,-3.4,5.2,0,0,-2.8,-4.2,-1.6,1x Spontaneity,1x Form,-1.27,0,0,-0.6,-0.67,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WDSF World Championship 2021 - Paris,B-Boys Top 32 Round Robin Group H,Gun,Deeogo,Gun,2,5,2,0,9,1,Skim,Storm,Extremo,Kujo,Dora,,,,,-5.13,-1.6,0,-1.4,2.27,-3.6,-0.8,,,-8.2,-1.2,0,-1.6,-1.2,-1.8,-2.4,,,-2.2,-1.2,0,0,0,-1,0,,,-22.67,-11.2,-1.6,-6,-1.07,-2.8,0,1x Execution1x Form,-1x Form,-4.2,-2.2,0,0,0,-2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.53,-1.8,-0.4,-3,1.47,-0.8,0,,,-8,-2.6,-1.2,-2,-0.67,-1,-0.53,,,-1.4,-2.2,0,0,0.8,0,0,,,1.67,1.4,0,4,-0.27,-4.8,1.33,-1x Execution1x Spontaneity,1x Confidence1x Execution,-3.53,-1.4,-0.93,0,0,-1.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
